Low Base,,,Average Base,,,High Base,
3/17/2011,20420084.02,,3/17/2011,24692336.77,,3/17/2011,45436330.03
4/8/2011,20420084.02,,4/8/2011,24692336.77,,4/8/2011,45436330.03
4/27/2011,20420084.02,,4/27/2011,24692336.77,,4/27/2011,45436330.03
5/12/2011,20420084.02,,5/12/2011,24692336.77,,5/12/2011,46681967.61
5/31/2011,20472584.02,,5/31/2011,24744836.77,,5/31/2011,46734467.61
6/24/2011,20472584.02,,6/24/2011,24744836.77,,6/24/2011,46734467.61
7/31/2011,20951384.02,,7/31/2011,25223636.77,,7/31/2011,47213267.61
8/2/2011,20951384.02,,8/2/2011,25223636.77,,8/2/2011,47213267.61
8/18/2011,20951384.02,,8/18/2011,25223636.77,,8/18/2011,47213267.61
9/4/2011,20981384.02,,9/4/2011,25253636.77,,9/4/2011,47213267.61
9/14/2011,20981384.02,,9/14/2011,25253636.77,,9/14/2011,47213267.61
9/21/2011,20981384.02,,9/21/2011,25253636.77,,9/21/2011,47213267.61
10/17/2011,20981384.02,,10/17/2011,25253636.77,,10/17/2011,47213267.61
11/3/2011,20981384.02,,11/3/2011,25253636.77,,11/3/2011,47213267.61
11/8/2011,21111384.02,,11/8/2011,25446136.77,,11/8/2011,47468267.61
11/20/2011,21111384.02,,11/20/2011,25446136.77,,11/20/2011,47468267.61
12/1/2011,21111384.02,,12/1/2011,25446136.77,,12/1/2011,47468267.61
12/8/2011,21111384.02,,12/8/2011,25446136.77,,12/8/2011,49133695.06
12/13/2011,21111384.02,,12/13/2011,25446136.77,,12/13/2011,49133695.06
12/14/2011,21111384.02,,12/14/2011,25446136.77,,12/14/2011,49133695.06
12/20/2011,21111384.02,,12/20/2011,25446136.77,,12/20/2011,49133695.06
1/3/2012,21111384.02,,1/3/2012,25446136.77,,1/3/2012,49133695.06
1/17/2012,23386384.02,,1/17/2012,27721136.77,,1/17/2012,51408695.06
1/26/2012,23386384.02,,1/26/2012,27721136.77,,1/26/2012,51415195.06
2/7/2012,23386384.02,,2/7/2012,27721136.77,,2/7/2012,51415195.06
2/23/2012,23386384.02,,2/23/2012,27721136.77,,2/23/2012,51415195.06
2/24/2012,23386384.02,,2/24/2012,27721136.77,,2/24/2012,51415195.06
2/28/2012,23386384.02,,2/28/2012,27721136.77,,2/28/2012,51415195.06
2/29/2012,23386384.02,,2/29/2012,27721136.77,,2/29/2012,51415195.06
3/6/2012,23386384.02,,3/6/2012,27721136.77,,3/6/2012,51415195.06
3/13/2012,23388816.02,,3/13/2012,27736488.77,,3/13/2012,51443467.06
3/16/2012,23388816.02,,3/16/2012,27736488.77,,3/16/2012,51443467.06
3/28/2012,23388816.02,,3/28/2012,27736488.77,,3/28/2012,51443467.06
4/2/2012,23388816.02,,4/2/2012,27736488.77,,4/2/2012,51443467.06
4/9/2012,23388816.02,,4/9/2012,27736488.77,,4/9/2012,51443467.06
4/19/2012,23428816.02,,4/19/2012,27776488.77,,4/19/2012,51483467.06
4/30/2012,23433858.03,,4/30/2012,27785732.45,,4/30/2012,51496912.42
5/7/2012,23433858.03,,5/7/2012,27785732.45,,5/7/2012,51496912.42
5/9/2012,23433858.03,,5/9/2012,27785732.45,,5/9/2012,51496912.42
5/25/2012,23433858.03,,5/25/2012,27785732.45,,5/25/2012,51496912.42
5/30/2012,23433858.03,,5/30/2012,27785732.45,,5/30/2012,51496912.42
6/1/2012,23433858.03,,6/1/2012,27785732.45,,6/1/2012,51496912.42
6/4/2012,23433858.03,,6/4/2012,27785732.45,,6/4/2012,51496912.42
6/11/2012,23433858.03,,6/11/2012,27785732.45,,6/11/2012,51496912.42
6/12/2012,23433858.03,,6/12/2012,27785732.45,,6/12/2012,51496912.42
6/14/2012,23433858.03,,6/14/2012,27785732.45,,6/14/2012,51496912.42
6/28/2012,23433858.03,,6/28/2012,27785732.45,,6/28/2012,51496912.42
7/2/2012,23433858.03,,7/2/2012,27785732.45,,7/2/2012,51496912.42
7/3/2012,23433858.03,,7/3/2012,27785732.45,,7/3/2012,51496912.42
7/5/2012,23433858.03,,7/5/2012,27785732.45,,7/5/2012,51496912.42
7/17/2012,23488403.48,,7/17/2012,27885732.44,,7/17/2012,51642366.95
8/5/2012,23488403.48,,8/5/2012,27934520.32,,8/5/2012,51739942.7
8/6/2012,23488403.48,,8/6/2012,27934520.32,,8/6/2012,51739942.7
8/8/2012,23488403.48,,8/8/2012,27934520.32,,8/8/2012,51739942.7
9/11/2012,23650347.89,,9/11/2012,28249242.48,,9/11/2012,52207442.62
10/29/2012,23650347.89,,10/29/2012,28249242.48,,10/29/2012,52207442.62
11/5/2012,23650347.89,,11/5/2012,28249242.48,,11/5/2012,52207442.62
11/7/2012,23650347.89,,11/7/2012,28249242.48,,11/7/2012,52207442.62
11/19/2012,23650347.89,,11/19/2012,28249242.48,,11/19/2012,52207442.62
11/26/2012,23650347.89,,11/26/2012,28249242.48,,11/26/2012,52207442.62
11/29/2012,23650347.89,,11/29/2012,28249242.48,,11/29/2012,52207442.62
11/30/2012,23650347.89,,11/30/2012,28249242.48,,11/30/2012,52207442.62
12/9/2012,23650347.89,,12/9/2012,28249242.48,,12/9/2012,52207442.62
12/13/2012,23650347.89,,12/13/2012,28249242.48,,12/13/2012,52207442.62
12/18/2012,23650347.89,,12/18/2012,28249242.48,,12/18/2012,52207442.62
12/24/2012,23650347.89,,12/24/2012,28249242.48,,12/24/2012,52207442.62
12/27/2012,23650347.89,,12/27/2012,28249242.48,,12/27/2012,52207442.62
1/9/2013,24000347.89,,1/9/2013,28599242.48,,1/9/2013,52557442.62
1/10/2013,24000347.89,,1/10/2013,28599242.48,,1/10/2013,52680942.62
1/29/2013,24085575.17,,1/29/2013,29536742.48,,1/29/2013,54470715.34
2/20/2013,24085575.17,,2/20/2013,29536742.48,,2/20/2013,54470715.34
3/21/2013,24085575.17,,3/21/2013,29536742.48,,3/21/2013,54470715.34
3/25/2013,24085575.17,,3/25/2013,29536742.48,,3/25/2013,55498840.32
4/3/2013,24085575.17,,4/3/2013,29536742.48,,4/3/2013,55498840.32
4/5/2013,24085575.17,,4/5/2013,29536742.48,,4/5/2013,55498840.32
4/26/2013,24085575.17,,4/26/2013,29536742.48,,4/26/2013,55498840.32
4/28/2013,24085575.17,,4/28/2013,29536742.48,,4/28/2013,55498840.32
5/7/2013,24085575.17,,5/7/2013,29986007.14,,5/7/2013,56330457.87
5/8/2013,24411156.51,,5/8/2013,29986007.14,,5/8/2013,56330457.87
5/21/2013,24411156.51,,5/21/2013,29986007.14,,5/21/2013,56330457.87
5/30/2013,24411156.51,,5/30/2013,30242007.14,,5/30/2013,56786457.87
6/17/2013,24411156.51,,6/17/2013,30242007.14,,6/17/2013,56786457.87
6/24/2013,24442406.51,,6/24/2013,30304507.14,,6/24/2013,56786457.87
7/21/2013,24442406.51,,7/21/2013,30304507.14,,7/21/2013,56806457.87
7/26/2013,24442406.51,,7/26/2013,30304507.14,,7/26/2013,56806457.87
8/12/2013,24442406.51,,8/12/2013,30304507.14,,8/12/2013,56806457.87
8/28/2013,24442406.51,,8/28/2013,31097317.26,,8/28/2013,62136066.83
9/13/2013,24442406.51,,9/13/2013,31097317.26,,9/13/2013,62136066.83
9/16/2013,24592406.51,,9/16/2013,31097317.26,,9/16/2013,62136066.83
9/25/2013,24592406.51,,9/25/2013,31097317.26,,9/25/2013,62136066.83
10/30/2013,24660656.51,,10/30/2013,31165567.26,,10/30/2013,62204316.83
11/5/2013,24660656.51,,11/5/2013,31165567.26,,11/5/2013,62913619.13
11/13/2013,24660656.51,,11/13/2013,31165567.26,,11/13/2013,62913619.13
11/25/2013,24660656.51,,11/25/2013,31165567.26,,11/25/2013,62913619.13
12/17/2013,26013656.51,,12/17/2013,32518567.26,,12/17/2013,64266619.13
12/29/2013,26013656.51,,12/29/2013,32675710.1,,12/29/2013,65138047.62
1/14/2014,26013656.51,,1/14/2014,32675710.1,,1/14/2014,65138047.62
1/31/2014,26013656.51,,1/31/2014,32675710.1,,1/31/2014,65138047.62
2/7/2014,26013656.51,,2/7/2014,32675710.1,,2/7/2014,65138047.62
2/10/2014,26013656.51,,2/10/2014,32675710.1,,2/10/2014,65138047.62
2/17/2014,26013656.51,,2/17/2014,32675710.1,,2/17/2014,65138047.62
2/21/2014,26013656.51,,2/21/2014,32675710.1,,2/21/2014,65138047.62
2/26/2014,26013656.51,,2/26/2014,32675710.1,,2/26/2014,65138047.62
3/6/2014,26013656.51,,3/6/2014,32675710.1,,3/6/2014,65138047.62
3/13/2014,26791216.91,,3/13/2014,34614720.79,,3/13/2014,68238508.6
3/16/2014,26791216.91,,3/16/2014,34614720.79,,3/16/2014,68238508.6
3/27/2014,26791216.91,,3/27/2014,34818508.12,,3/27/2014,68660017.42
4/1/2014,26791216.91,,4/1/2014,34818508.12,,4/1/2014,68660017.42
4/8/2014,26791216.91,,4/8/2014,35267005.66,,4/8/2014,69781756.53
4/30/2014,26791216.91,,4/30/2014,35267005.66,,4/30/2014,69781756.53
5/16/2014,26791216.91,,5/16/2014,35267005.66,,5/16/2014,69781756.53
6/3/2014,27273716.91,,6/3/2014,35749505.66,,6/3/2014,70264256.53
6/22/2014,27273716.91,,6/22/2014,35749505.66,,6/22/2014,70264256.53
7/9/2014,27273716.91,,7/9/2014,35749505.66,,7/9/2014,70264256.53
7/24/2014,27273716.91,,7/24/2014,35749505.66,,7/24/2014,70264256.53
8/11/2014,27273716.91,,8/11/2014,35749505.66,,8/11/2014,70264256.53
8/12/2014,27406292.64,,8/12/2014,35901020.78,,8/12/2014,70434711.04
8/26/2014,27541292.64,,8/26/2014,36061020.78,,8/26/2014,70619711.04
9/2/2014,27541292.64,,9/2/2014,36061020.78,,9/2/2014,70619711.04
9/15/2014,27541292.64,,9/15/2014,36061020.78,,9/15/2014,70619711.04
9/19/2014,27541292.64,,9/19/2014,36061020.78,,9/19/2014,70619711.04
10/3/2014,27541292.64,,10/3/2014,36061020.78,,10/3/2014,70619711.04
10/5/2014,27541292.64,,10/5/2014,36392657.04,,10/5/2014,71169529.05
10/26/2014,27541292.64,,10/26/2014,36392657.04,,10/26/2014,71169529.05
10/30/2014,27541292.64,,10/30/2014,36392657.04,,10/30/2014,71169529.05
10/31/2014,27541292.64,,10/31/2014,36392657.04,,10/31/2014,71169529.05
11/3/2014,27541292.64,,11/3/2014,36392657.04,,11/3/2014,71169529.05
11/9/2014,27541292.64,,11/9/2014,36392657.04,,11/9/2014,71169529.05
11/12/2014,27541292.64,,11/12/2014,36392657.04,,11/12/2014,71169529.05
12/7/2014,27654824.71,,12/7/2014,36506189.1,,12/7/2014,71169529.05
12/8/2014,27654824.71,,12/8/2014,36506189.1,,12/8/2014,71169529.05
12/9/2014,27879824.7,,12/9/2014,36999046.24,,12/9/2014,71930243.32
12/16/2014,27879824.7,,12/16/2014,36999046.24,,12/16/2014,71930243.32
1/13/2015,27899938.95,,1/13/2015,37042017.59,,1/13/2015,71996071.77
2/9/2015,27899938.95,,2/9/2015,37042017.59,,2/9/2015,71996071.77
2/10/2015,27899938.95,,2/10/2015,37042017.59,,2/10/2015,71996071.77
2/17/2015,27899938.95,,2/17/2015,37042017.59,,2/17/2015,71996071.77
2/23/2015,27899938.95,,2/23/2015,37042017.59,,2/23/2015,71996071.77
3/16/2015,27899938.95,,3/16/2015,37042017.59,,3/16/2015,71996071.77
3/19/2015,27899938.95,,3/19/2015,37042017.59,,3/19/2015,71996071.77
3/26/2015,27899938.95,,3/26/2015,37042017.59,,3/26/2015,71996071.77
3/27/2015,27899938.95,,3/27/2015,37042017.59,,3/27/2015,71996071.77
4/2/2015,27899938.95,,4/2/2015,37042017.59,,4/2/2015,71996071.77
4/21/2015,27948313.95,,4/21/2015,37090392.59,,4/21/2015,72044446.77
4/22/2015,27948313.95,,4/22/2015,37090392.59,,4/22/2015,72044446.77
4/27/2015,27948313.95,,4/27/2015,37090392.59,,4/27/2015,72044446.77
4/28/2015,27948313.95,,4/28/2015,37090392.59,,4/28/2015,72044446.77
4/29/2015,27948313.95,,4/29/2015,37090392.59,,4/29/2015,72044446.77
5/4/2015,27948313.95,,5/4/2015,37090392.59,,5/4/2015,72044446.77
5/5/2015,27948313.95,,5/5/2015,37090392.59,,5/5/2015,72044446.77
5/15/2015,27948313.95,,5/15/2015,37090392.59,,5/15/2015,72044446.77
5/25/2015,27948313.95,,5/25/2015,37090392.59,,5/25/2015,72044446.77
5/28/2015,27948313.95,,5/28/2015,37090392.59,,5/28/2015,72044446.77
6/3/2015,27948313.95,,6/3/2015,37090392.59,,6/3/2015,72044446.77
6/4/2015,28098313.95,,6/4/2015,37240392.59,,6/4/2015,72194446.77
6/7/2015,28098313.95,,6/7/2015,37240392.59,,6/7/2015,72194446.77
6/8/2015,28098313.95,,6/8/2015,37240392.59,,6/8/2015,72194446.77
6/21/2015,28330237,,6/21/2015,37558854.08,,6/21/2015,72599446.72
6/26/2015,28330237,,6/26/2015,37558854.08,,6/26/2015,72599446.72
6/30/2015,28330237,,6/30/2015,37558854.08,,6/30/2015,72599446.72
7/3/2015,28330237,,7/3/2015,37558854.08,,7/3/2015,72599446.72
7/6/2015,28330237,,7/6/2015,37558854.08,,7/6/2015,72599446.72
7/12/2015,28330237,,7/12/2015,37558854.08,,7/12/2015,72599446.72
7/13/2015,28330237,,7/13/2015,37558854.08,,7/13/2015,72599446.72
8/3/2015,28366237,,8/3/2015,37594854.08,,8/3/2015,72635446.72
8/6/2015,28366237,,8/6/2015,37594854.08,,8/6/2015,72635446.72
8/7/2015,28366237,,8/7/2015,37594854.08,,8/7/2015,72635446.72
8/20/2015,28366237,,8/20/2015,37594854.08,,8/20/2015,72635446.72
8/24/2015,28366237,,8/24/2015,37594854.08,,8/24/2015,72635446.72
9/2/2015,28366237,,9/2/2015,37594854.08,,9/2/2015,72635446.72
9/9/2015,28366237,,9/9/2015,37594854.08,,9/9/2015,72635446.72
9/10/2015,28816237,,9/10/2015,38044854.08,,9/10/2015,72635446.72
9/24/2015,28903737,,9/24/2015,38132354.08,,9/24/2015,72635446.72
9/28/2015,29828736.96,,9/28/2015,39057354.04,,9/28/2015,72635446.72
10/8/2015,29828736.96,,10/8/2015,40007063.97,,10/8/2015,81408009.76
10/30/2015,29828736.96,,10/30/2015,40007063.97,,10/30/2015,81408009.76
11/2/2015,29828736.96,,11/2/2015,40007063.97,,11/2/2015,81408009.76
11/13/2015,29828736.96,,11/13/2015,40007063.97,,11/13/2015,81408009.76
11/17/2015,29828736.96,,11/17/2015,40007063.97,,11/17/2015,81408009.76
11/24/2015,29828736.96,,11/24/2015,40007063.97,,11/24/2015,81408009.76
12/7/2015,29954736.96,,12/7/2015,40133063.97,,12/7/2015,81534009.76
12/8/2015,29954736.96,,12/8/2015,40133063.97,,12/8/2015,81534009.76
12/14/2015,29954736.96,,12/14/2015,40133063.97,,12/14/2015,81534009.76
12/17/2015,29954736.96,,12/17/2015,40133063.97,,12/17/2015,81534009.76
12/22/2015,29954736.96,,12/22/2015,40133063.97,,12/22/2015,81534009.76
12/29/2015,29954736.96,,12/29/2015,40133063.97,,12/29/2015,81534009.76
1/12/2016,29954736.96,,1/12/2016,40133063.97,,1/12/2016,81534009.76
1/13/2016,29954736.96,,1/13/2016,40133063.97,,1/13/2016,81534009.76
1/18/2016,29954736.96,,1/18/2016,40133063.97,,1/18/2016,81534009.76
1/25/2016,29954736.96,,1/25/2016,40133063.97,,1/25/2016,81534009.76
2/5/2016,29954736.96,,2/5/2016,40133063.97,,2/5/2016,81534009.76
2/11/2016,29954736.96,,2/11/2016,40133063.97,,2/11/2016,81534009.76
2/16/2016,30473157.93,,2/16/2016,40783063.86,,2/16/2016,82315588.58
2/22/2016,30473157.93,,2/22/2016,40783063.86,,2/22/2016,82315588.58
3/10/2016,30739824.59,,3/10/2016,41327508.3,,3/10/2016,83137810.79
3/14/2016,30739824.59,,3/14/2016,41327508.3,,3/14/2016,83137810.79
3/17/2016,30739824.59,,3/17/2016,41327508.3,,3/17/2016,83137810.79
3/27/2016,30808168.92,,3/27/2016,41327508.3,,3/27/2016,83137810.79
3/28/2016,30808168.92,,3/28/2016,41327508.3,,3/28/2016,83137810.79
4/11/2016,30808168.92,,4/11/2016,41327508.3,,4/11/2016,83137810.79
4/13/2016,30808168.92,,4/13/2016,41383398.7,,4/13/2016,83251235.44
4/17/2016,30808168.92,,4/17/2016,41383398.7,,4/17/2016,83288735.44
5/1/2016,30808168.92,,5/1/2016,41383398.7,,5/1/2016,83288735.44
5/10/2016,30808168.92,,5/10/2016,41383398.7,,5/10/2016,83288735.44
5/18/2016,30808168.92,,5/18/2016,41383398.7,,5/18/2016,83288735.44
6/14/2016,30808168.92,,6/14/2016,41558479.05,,6/14/2016,83692915.41
7/7/2016,30808168.92,,7/7/2016,41558479.05,,7/7/2016,83692915.41
7/13/2016,30808168.92,,7/13/2016,41558479.05,,7/13/2016,83692915.41
8/10/2016,30808168.92,,8/10/2016,41558479.05,,8/10/2016,83692915.41
8/15/2016,30808168.92,,8/15/2016,41558479.05,,8/15/2016,83766989.46
8/26/2016,30808168.92,,8/26/2016,41558479.05,,8/26/2016,83766989.46
10/17/2016,30808168.92,,10/17/2016,41558479.05,,10/17/2016,83766989.46
10/18/2016,30808168.92,,10/18/2016,41558479.05,,10/18/2016,83766989.46
11/7/2016,30888168.92,,11/7/2016,41558479.05,,11/7/2016,83766989.46
11/16/2016,30888168.92,,11/16/2016,41558479.05,,11/16/2016,83766989.46
11/21/2016,30888168.92,,11/21/2016,42053479.05,,11/21/2016,84636989.46
12/13/2016,31011245.84,,12/13/2016,42484248.27,,12/13/2016,85375450.98
12/21/2016,31173245.84,,12/21/2016,42646248.27,,12/21/2016,85537450.98
1/10/2017,31173245.84,,1/10/2017,42646248.27,,1/10/2017,85537450.98
2/3/2017,31173245.84,,2/3/2017,42646248.27,,2/3/2017,85537450.98
2/14/2017,31230245.84,,2/14/2017,42703248.27,,2/14/2017,85594450.98
3/9/2017,31250245.84,,3/9/2017,42723248.27,,3/9/2017,85614450.98
4/6/2017,31250245.84,,4/6/2017,42723248.27,,4/6/2017,85614450.98
4/27/2017,31250245.84,,4/27/2017,42723248.27,,4/27/2017,85614450.98
5/8/2017,31250245.84,,5/8/2017,42723248.27,,5/8/2017,85614450.98
5/11/2017,31270524.66,,5/11/2017,42723248.27,,5/11/2017,85614450.98
5/26/2017,31270524.66,,5/26/2017,42723248.27,,5/26/2017,85614450.98
5/30/2017,31270524.66,,5/30/2017,42723248.27,,5/30/2017,85614450.98
6/11/2017,31270524.66,,6/11/2017,42723248.27,,6/11/2017,85614450.98
6/23/2017,31270524.66,,6/23/2017,42723248.27,,6/23/2017,85614450.98
6/26/2017,31270524.66,,6/26/2017,42723248.27,,6/26/2017,85614450.98
7/2/2017,31535524.66,,7/2/2017,42988248.27,,7/2/2017,85879450.98
7/31/2017,31535524.66,,7/31/2017,42988248.27,,7/31/2017,85884117.64
8/8/2017,31535524.66,,8/8/2017,43504398.27,,8/8/2017,87376767.64
8/11/2017,31535524.66,,8/11/2017,43504398.27,,8/11/2017,87376767.64
8/17/2017,31535524.66,,8/17/2017,43504398.27,,8/17/2017,87376767.64
8/21/2017,31535524.66,,8/21/2017,43504398.27,,8/21/2017,87376767.64
8/25/2017,31535524.66,,8/25/2017,43504398.27,,8/25/2017,87376767.64
9/14/2017,31535524.66,,9/14/2017,43504398.27,,9/14/2017,87376767.64
9/20/2017,31535524.66,,9/20/2017,43504398.27,,9/20/2017,87376767.64
9/25/2017,31535524.66,,9/25/2017,43504398.27,,9/25/2017,90212705.14
9/27/2017,31535524.66,,9/27/2017,43504398.27,,9/27/2017,90212705.14
10/1/2017,31535524.66,,10/1/2017,43504398.27,,10/1/2017,90212705.14
10/31/2017,32705524.66,,10/31/2017,44674398.27,,10/31/2017,91382705.14
11/20/2017,32705524.66,,11/20/2017,44674398.27,,11/20/2017,91382705.14
11/21/2017,32705524.66,,11/21/2017,44674398.27,,11/21/2017,91382705.14
12/24/2017,32705524.66,,12/24/2017,44674398.27,,12/24/2017,91382705.14
12/25/2017,33595355.14,,12/25/2017,45786686.37,,12/25/2017,92717450.86
12/27/2017,33603948.89,,12/27/2017,45795280.12,,12/27/2017,92726044.61
1/10/2018,33603948.89,,1/10/2018,45795280.12,,1/10/2018,92726044.61
2/2/2018,33603948.89,,2/2/2018,45795280.12,,2/2/2018,92726044.61
2/13/2018,33603948.89,,2/13/2018,45795280.12,,2/13/2018,92726044.61
3/15/2018,33619573.89,,3/15/2018,45826530.12,,3/15/2018,92772919.61
3/16/2018,33619573.89,,3/16/2018,45826530.12,,3/16/2018,92772919.61
3/20/2018,33619573.89,,3/20/2018,45826530.12,,3/20/2018,92772919.61
4/10/2018,33619573.89,,4/10/2018,45826530.12,,4/10/2018,92772919.61
4/18/2018,33619573.89,,4/18/2018,45826530.12,,4/18/2018,92772919.61
4/22/2018,33834677.99,,4/22/2018,46077995.23,,4/22/2018,93060745.73
4/23/2018,33834677.99,,4/23/2018,46077995.23,,4/23/2018,93060745.73
4/26/2018,33834677.99,,4/26/2018,46077995.23,,4/26/2018,93060745.73
5/1/2018,33834677.99,,5/1/2018,46077995.23,,5/1/2018,93060745.73
5/8/2018,33834677.99,,5/8/2018,46077995.23,,5/8/2018,93060745.73
5/13/2018,33834677.99,,5/13/2018,46077995.23,,5/13/2018,93060745.73
5/18/2018,33834677.99,,5/18/2018,46077995.23,,5/18/2018,93060745.73
5/22/2018,33834677.99,,5/22/2018,46077995.23,,5/22/2018,93060745.73
5/29/2018,33834677.99,,5/29/2018,46077995.23,,5/29/2018,93060745.73
6/4/2018,33834677.99,,6/4/2018,46077995.23,,6/4/2018,93060745.73
6/11/2018,33834677.99,,6/11/2018,46077995.23,,6/11/2018,93060745.73
6/21/2018,33950120.94,,6/21/2018,46244071.06,,6/21/2018,93277454.43
7/3/2018,33950120.94,,7/3/2018,46244071.06,,7/3/2018,93277454.43
7/31/2018,33950120.94,,7/31/2018,46244071.06,,7/31/2018,93277454.43
8/7/2018,33950120.94,,8/7/2018,46244071.06,,8/7/2018,93277454.43
8/22/2018,33950120.94,,8/22/2018,46244071.06,,8/22/2018,93277454.43
9/2/2018,33950120.94,,9/2/2018,46244071.06,,9/2/2018,93277454.43
9/5/2018,33950120.94,,9/5/2018,46244071.06,,9/5/2018,93277454.43
9/12/2018,33950120.94,,9/12/2018,46244071.06,,9/12/2018,93277454.43
9/25/2018,33950120.94,,9/25/2018,46295247.52,,9/25/2018,93372748.53
10/9/2018,34000120.92,,10/9/2018,46345247.49,,10/9/2018,93422748.51
11/12/2018,34108816.56,,11/12/2018,46569226.4,,11/12/2018,93762010.68
11/13/2018,34108816.56,,11/13/2018,46569226.4,,11/13/2018,93762010.68
12/18/2018,34108816.56,,12/18/2018,47029119.44,,12/18/2018,95425112.26
